Modelo,AUC-ROC (Val),AUC-ROC (Test),F1 (Test),Precision@20% (Test),Tiempo (s)
RandomForest,0.9945257575456062,0.9953451965548399,0.9163860830527497,0.9321728691476591,0.58798
XGBoost,0.9999347923732307,0.999953120792358,0.9979369289714117,1.0,0.780795
LightGBM,0.99995842347503,0.9999625321484377,0.9988214496169712,1.0,0.751791
